Station,Line,Order of Points,Longitude,Latitude,Traffic,Color,Point Color
Alonso Martínez,Linea 5,19,"-3,695911679","40,427781",18.832.974,#76c447,#FFFFFF
Rubén Darío,Linea 5,20,"-3,689119115","40,43315269",2.686.763,#76c447,#76c447
Núñez de Balboa,Linea 5,21,"-3,683196798","40,43284731",7.850.348,#76c447,#FFFFFF
Diego de León,Linea 5,22,"-3,675073148","40,4346047",14.502.699,#76c447,#FFFFFF
Ventas,Linea 5,23,"-3,663536293","40,43110198",6.716.718,#76c447,#FFFFFF
El Carmen,Linea 5,24,"-3,65748632","40,43183532",4.521.912,#76c447,#76c447
Quintana,Linea 5,25,"-3,647229222","40,43358855",3.614.161,#76c447,#76c447
Pueblo Nuevo,Linea 5,26,"-3,642845864","40,4356791",9.317.967,#76c447,#FFFFFF
Ciudad Lineal,Linea 5,27,"-3,638039345","40,43787847",4.122.778,#76c447,#76c447
Suanzes,Linea 5,28,"-3,627124503","40,44090339",2.467.319,#76c447,#76c447
Torre Arias,Linea 5,29,"-3,617039397","40,44361427",2.102.301,#76c447,#76c447
Canillejas,Linea 5,30,"-3,608127488","40,44936151",3.113.978,#76c447,#76c447
El capricho,Linea 5,31,"-3,594265832","40,45329665",943.938,#76c447,#76c447
Alameda de Osuna,Linea 5,32,"-3,588034292","40,45745955",1.746.651,#76c447,#76c447
Laguna,Linea 6,1,"-3,743863647","40,39908529",3.225.039,#6a8389,#6a8389
Lucero,Linea 6,2,"-3,745580261","40,4047554",5.054.775,#6a8389,#6a8389
Alto de Extremadura,Linea 6,3,"-3,738821094","40,40977149",3.455.779,#6a8389,#6a8389
Puerta del Ángel,Linea 6,4,"-3,727219913","40,41408471",4.599.412,#6a8389,#6a8389
Príncipe Pío,Linea 6,5,"-3,71940932","40,4215879",32.191.729,#6a8389,#6a8389
Argüelles,Linea 6,6,"-3,716055779","40,43059028",14.590.179,#6a8389,#FFFFFF
Ciudad Universitaria,Linea 6,7,"-3,726893882","40,44353936",5.703.438,#6a8389,#6a8389
Vicente Aleixandre,Linea 6,8,"-3,718782881","40,44684253",2.139.036,#6a8389,#6a8389
Guzmán el Bueno,Linea 6,9,"-3,711809138","40,44653227",8.465.631,#6a8389,#FFFFFF
Cuatro Caminos,Linea 6,10,"-3,703977869","40,44700657",16.091.690,#6a8389,#FFFFFF
Nuevos Ministerios,Linea 6,11,"-3,691982249","40,44664658",29.885.885,#6a8389,#FFFFFF
República Argentina,Linea 6,12,"-3,683914164","40,4437072",1.988.646,#6a8389,#6a8389
Avenida de América	,Linea 6,13,"-3,676670475","40,43809255",35.284.265,#6a8389,#6a8389
Diego de León,Linea 6,14,"-3,675073148","40,4346047",14.502.699,#6a8389,#FFFFFF
Manuel Becerra,Linea 6,15,"-3,669204739","40,42790792",9.284.711,#6a8389,#FFFFFF
